ticket_id_hashed,Privacy_Detect_Col,components,keyword,사업부,지역,language,대분류,중분류,소분류,beforechange,afterchange,labels,environment,created_date_yyyymm,thinQmodel,salesmodel,generated_summary,generated_translation,merge_key,generated_response
d8d1dfd,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,침구말림개선,리빙,US,,,,,"Dryer is spinning in only one direction. It would be good if dryer also spin in alternate directions, because of only one direction especially bedding items are becoming like a round ball and the inside part is not getting dry efficiently ","건조기가 한 방향으로만 회전하고 있습니다. 건조기도 다른 방향으로 회전하면 좋을 텐데, 특히 침구류는 한 방향으로만 회전하기 때문에 동그란 공처럼 되고 내부 부분이 효율적으로 건조되지 않습니다.","['24_W30', 'Dryer', 'ListB', '제안', '중복', '코스설정', '회전방향설정']",한방향으로만 회전,202407,"['BDVG_FX0003_US', 'FAFXU22027']","['DLGX5501V.ASSEEUS', 'WM5500HVA.ASSEUUS']",The user suggests the dryer should also spin in alternate directions to prevent bedding items from becoming like a round ball and not drying efficiently.,,,
fdb6677,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,홈공유,리빙,US,,ThinQ,제품등록 및 연결,제품간 연동/호환,Multiple users per device ,장치당 여러 사용자,"['23_W17', 'Dryer', 'ListC', '건조기', '제안', '홈공유']",한 개의 디바이스에 다양한 사용자 추가 요청,202305,,,The user suggests implementing a secure multi-user login feature to ensure privacy for each user on the device.,,,
e35a181,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,필터교체알림,리빙,US,,제품,설정 제어,알림,"Please add a button that says I cleaned my filter after I get the message that says I should wash my filter with water after 10 cycles. 
I’ve cleaned it but still getting messages & I don’t know how to tell it to stop until I get to 10 cycles again. ","10회 주기 후에 필터를 물로 세척해야 한다는 메시지를 받은 후 필터를 청소했다는 버튼을 추가하십시오.
청소했지만 여전히 메시지를 받고 있으며 다시 10 사이클에 도달 할 때까지 중지하는 방법을 모르겠습니다.","['23_W38', 'Dryer', 'ListB', '제안', '제품상품기획', '필터세척']",필터 청소 알림 해제 요청,202309,,,"The user suggests adding a button that allows them to confirm they have cleaned the filter, so the reminder message to clean the filter after 10 cycles will stop until the next cycle reset.",,,
383d03a,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,필터청소시기알림,리빙,US,,,,,"Can my dryer tell me when I’ve run 10 loads so I know to clean the filter with water, instead of reminding me every time?",건조기가 10번 세탁했을 때 매번 알려주는 대신 물로 필터를 청소해야 한다는 것을 알 수 있습니까?,"['24_W36', 'Dryer', 'ListB', '제안', '중복', '필터청소', '필터청소알림']",필터 청소 알림,202409,"['BDVG_FX0003_US', 'FAFXU22027']","['DLEX5500W.ABWEUUS', 'WM5500HWA.ABWEVUS']","The user suggests that the dryer should notify them after every 10 loads to clean the filter with water, instead of reminding them every time.",,,
4d1e216,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,필터청소시기알림,리빙,US,,,,,"My dryer tells me it’s time to clean the lint screen with water after EVERY cycle, not just after 10 cycles. There’s no option for me to indicate that I cleaned it.   So the reminder becomes inaccurate & useless. ",내 건조기는 10회 주기 후가 아니라 매 주기 후에 보푸라기 스크린을 물로 청소할 때라고 알려줍니다. 청소했다고 표시할 수 있는 옵션이 없습니다.   따라서 알림은 부정확하고 쓸모 없게됩니다.,"['24_W36', 'Dryer', 'ListC', '제안', '중복', '중복메인', '필터상태표시', '필터청소', '필터청소알림']",필터 청소 알람,202409,"['BDVG_FX0003_US', 'FAFXU22027']","['DLEX5500V.ASSEUUS', 'WM5500HVA.ASSEVUS']",The user suggests adding an option to indicate when the lint screen has been cleaned to make the reminder more accurate and useful.,,,
a299512,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,내부조명시간설정/변경,리빙,US,,제품,설정 제어,설정/변경,I would like to be able to control the light inside and turn it on and off as needed. ,내부의 조명을 제어하고 필요에 따라 켜고 끌 수 있으면 좋겠습니다.,"['23_W43', 'Dryer', 'ListB', '내부조명', '제안', '중복']",필요 시 Light on / off 가능,202310,,,The user suggests being able to control the light inside and turn it on and off as needed.,,,
f11cf93,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,주름개선코스,리빙,US,,,,,Allow normal mode to be customized to include wrinkle prevention all the time instead of knowing ahead of time that you'll need it. ,일반 모드가 필요하다는 것을 미리 아는 대신 항상 주름 방지를 포함하도록 사용자 지정할 수 있습니다.,"['24_W12', 'Dryer', 'ListD', '세탁물케어', '제안', '주름펴기', '중복']",표준코스에서 Wrinkle care 항상 ON,202403,,,The user suggests allowing the normal mode to be customized to include wrinkle prevention all the time instead of requiring prior knowledge of its need.,,,
22bb263,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,나만의코스,리빙,US,,제품,설정 제어,설정/변경,"Allow other heat settings on “normal” dryer setting, like low heat",일반 건조기 설정에서 낮은 열과 같은 다른 열 설정을 허용합니다.,"['23_W51', 'Dryer', 'ListB', '건조온도조절', '모든옵션해제', '북미Only', '제안', '제품상품기획', '중복']",표준에서도 “Low heat” 설정할 수 있도록 해달라,202312,,,"The user suggests allowing other heat settings on the “normal” dryer setting, such as low heat.",,,
3abd6fe,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,앱에서종료음재생,리빙,US,,제품,설정 제어,알림,Play the load finished song on my phone.,내 휴대폰에서 로드 완료 노래를 재생합니다.,"['23_W39', 'Dryer', 'ListB', 'ListD', '공통앱', '북미Only', '제안', '플센요청']",폰에서 멜로디 울림 요청,202309,,,The user suggests playing the load finished song on their phone.,,,
061f3d4,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,펫케어코스,리빙,US,,,,,"Pet hair removal cycle. Low temp with high blower output to remove pet hair without washing or as a pretreatment before washing. Meant for a few garments at a time, not for whole load. ",애완 동물 제모주기. 세탁하지 않고 또는 세탁 전에 전처리로 애완 동물의 털을 제거하기 위한 높은 송풍기 출력의 저온. 한 번에 몇 벌의 의복을 위한 것이지 전체 짐을 위한 것이 아닙니다.,"['24_W40', 'Dryer', 'ListB', '제안', '중복', '코스_모드', '펫모드', '펫케어']",펫케어 코스,202410,"['BDVG_FX0003_US', 'FAFXU22027']","['DLEX5500V.ASSEEUS', 'WM5500HVA.ASSEUUS']","The user suggests implementing a pet hair removal cycle with a low temperature and high blower output to remove pet hair without washing or as a pretreatment before washing, intended for a few garments at a time rather than a whole load.",,,
f4ae22c,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,음원변경,리빙,US,,,,,Please add a football splash screen and melodies. ,축구 시작 화면과 멜로디를 추가해 주세요.,"['24_W35', 'Dryer', 'LCD배경테마', 'ListB', '멜로디', '제안', '중복']",특정 팀의 배경 및 음원,202409,['BDVG_FX0003_US'],['DLEX6500W.ABWEEUS'],The user suggests adding a football splash screen and melodies.,,,
29f1b0c,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,음원변경,리빙,US,,,,,Wheels on the bus sound,버스의 바퀴 소리,"['24_W20', 'Dryer', 'ListC', '멜로디', '제안', '중복']",특정 음원 적용 요청,202405,['BDVG_FX0003_US'],['DLEX6500W.ABWEEUS'],The user suggests adding more interactive features to the Wheels on the Bus sound module.,,,
78ea388,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,계절별테마,리빙,US,['en'],,,,Christmas display!!!!,크리스마스 디스플레이!!!,"['24_W48', 'Christmas', 'Dryer', 'IDR', 'LCD배경테마', 'ListB', '제안', '중복']",크리스마스 배경화면,202412,"['BDV_TX_7009', 'TLXU7BBP']","['DLEX8600BE.AEBEEUS', 'WT8405CB.AEBETUS']","I understand the task and will proceed with the analysis.

1. Understand the Christmas display thoroughly.
2. Divide the parts that are ‘suggestions’ and ‘non-suggestions.’

Suggestions:
1. The user suggests adding more interactive elements to the Christmas display to enhance visitor engagement. 

Non-suggestions:
- The user expressed satisfaction with the overall design.
- There was a report of a malfunctioning light strand.",,,
7bbacfd,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,나만의코스,리빙,US,,제품,설정 제어,설정/변경,I am looking to add the low static option to the delicates cycle. Not have to select that option each time. Add it to the cycle parameters. ,섬세한 사이클에 낮은 정적 옵션을 추가하려고합니다. 매번 해당 옵션을 선택할 필요가 없습니다. 사이클 매개변수에 추가합니다.,"['24_W6', 'Dryer', 'ListB', '설정유지', '제안', '중복', '코스설정']",코스에 옵션 저장,202402,,,"The user suggests adding the low static option to the delicates cycle so that it does not have to be selected each time, incorporating it into the cycle parameters.",,,
c779f51,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,KeepFresh,리빙,US,,제품,설정 제어,설정/변경,Include keep fresh setting with each cycle type so can leave it on as default.,각 주기 유형에 새 설정을 포함하여 기본적으로 켜진 상태로 둘 수 있습니다.,"['24_W6', 'Dryer', 'KeepFresh', 'ListB', '설정유지', '제안', '중복']",코스에 옵션 저장,202402,,,"The user suggests including the ""keep fresh"" setting by default for each cycle type.",,,
6635aa0,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,앱내기능설명,리빙,US,,ThinQ,앱 개선,앱 설정,It would be helpful if the app included descriptions of the available cycles and possibly the settings that are programmed for each cycle. Some of the cycles have names that seem to indicate similar uses which leaves me guessing which one is appropriate for my circumstance. ,앱에 사용 가능한 주기에 대한 설명과 각 주기에 대해 프로그래밍된 설정이 포함되어 있으면 도움이 될 것입니다. 일부 사이클에는 유사한 용도를 나타내는 것처럼 보이는 이름이 있어 내 상황에 적합한 것이 무엇인지 추측하게 됩니다.,"['23_W38', 'Dryer', 'ListB', 'ListD', '제안', '제품앱', '코스설명', '플센요청']","코스별로 자세한 설명통해

상황에 맞는 사용 가능하도록 제안",202309,,,The user suggests that the app should include descriptions of the available cycles and possibly the settings that are programmed for each cycle.,,,
0e03915,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,나만의코스,리빙,US,,제품,설정 제어,설정/변경,"It would be nice to be able to change the temperature setting on the different cycles. For instance, a normal dryer setting will only dry at med high heat which shrinks clothing. An option for a lower temperature setting would alleviate this problem. Thanks in advance. ","다른 사이클에서 온도 설정을 변경할 수 있으면 좋을 것입니다. 예를 들어, 일반 건조기 설정은 의복이 수축되는 중간 고열에서만 건조됩니다. 더 낮은 온도 설정 옵션을 사용하면 이 문제를 완화할 수 있습니다. 미리 감사드립니다.","['24_W2', 'Dryer', 'ListB', '건조온도조절', '모든옵션해제', '제안', '중복']",코스별로 온도 설정,202401,,,The user suggests an option for a lower temperature setting on dryer cycles to prevent clothing from shrinking.,,,
f5720c3,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,나만의코스,리빙,US,,제품,설정 제어,설정/변경,"I love my washer but this dryer needs a lot of work. The settings are not adjustable like they are for the paired washer. Meaning your preset settings,  can’t adjust the settings such as temp, spin, heat etc. 
I can’t adjust on the machine nor in the app. That’s ridiculous. 

The washer allows you to change the preset setting options AND remembers your last setting. 
I realize I can’t change the size of the dryer but if I can get the settings to work better that would be a great improvement. ","나는 내 세탁기를 좋아하지만 이 건조기는 많은 작업이 필요합니다. 설정은 페어링된 와셔처럼 조정할 수 없습니다. 사전 설정 설정을 의미하며 온도, 스핀, 열 등과 같은 설정을 조정할 수 없습니다.
기계나 앱에서 조정할 수 없습니다. 말도 안 돼요.

와셔를 사용하면 사전 설정 옵션을 변경하고 마지막 설정을 기억할 수 있습니다.
건조기의 크기를 변경할 수 없다는 것을 알고 있지만 설정이 더 잘 작동하도록 할 수 있다면 큰 개선이 될 것입니다.","['23_W51', 'Dryer', 'ListB', '나만의코스', '모든옵션해제', '북미Only', '제안', '제품상품기획', '중복']",코스별 상세 세팅을 세탁기 만큼 자유롭게 설정할 수 없음,202312,,,"The user suggests improving the dryer settings to allow adjustments similar to those available on the paired washer, such as temperature, spin, and heat, both on the machine and in the app.",,,
5e253b7,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,코스명관리,리빙,US,,,,,Please allow the creation of custom names for custom cycles. Having them names Ai dry 1 bedding dry 2 etc is frustrating.,"사용자 지정 주기에 대한 사용자 지정 이름 생성을 허용하십시오. Ai dry 1, 침구 건조 2 등의 이름을 갖는 것은 실망 스럽습니다.","['24_W16', 'Dryer', 'ListB', '나만의코스', '제안', '제품상품기획', '코스명관리', '코스이름표시']",코스명 변경,202404,['BDV_TX_7009'],['DLGX8601BE.AEBEEUS'],The user suggests allowing the creation of custom names for custom cycles.,,,
7cf92d0,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,앱개선(편집기능),리빙,US,['en'],,,,Should be able to configure dryer cycle quick list from app instead of having to use the options screens on the dryer. Didn't even know options like Air Dry existed because they were buried in menus on the tiny dryer display. ,건조기의 옵션 화면을 사용할 필요 없이 앱에서 건조기 주기 빠른 목록을 구성할 수 있어야 합니다. Air Dry와 같은 옵션이 작은 건조기 디스플레이의 메뉴에 묻혀 있었기 때문에 존재하는지조차 몰랐습니다.,"['24_W43', 'Dryer', 'IDR', 'ListB', '순서설정', '앱기능개선', '제안', '코스순서편집']",코스 편집,202410,"['BDVG_FX0003_US', 'FAFXU22027']","['DLGX5501V.ASSEEUS', 'WM5500HVA.ASSEUUS']",The user suggests being able to configure dryer cycle options from the app instead of using the options screens on the dryer.,,,
0b178a7,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,나만의코스,리빙,US,,제품,설정 제어,설정/변경,A drying cycle that lets you choose both temperature and dry level. ,온도와 건조 수준을 모두 선택할 수 있는 건조 사이클입니다.,"['24_W5', 'Dryer', 'ListB', '건조온도조절', '건조코스', '모든옵션해제', '제안', '중복', '코스_모드']",코스 옵션 해제,202402,,,The user suggests adding a feature to the drying cycle that allows choosing both temperature and dry level.,,,
da9d008,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,나만의코스,리빙,US,,제품,설정 제어,설정/변경,"Allow different temperature settings for the Normal Cycle, such as Medium Low",Normal Cycle에 대해 Medium Low와 같은 다른 온도 설정을 허용합니다.,"['24_W5', 'Dryer', 'ListB', '건조온도조절', '모든옵션해제', '제안', '중복']",코스 옵션 해제,202402,,,"The user suggests allowing different temperature settings for the Normal Cycle, such as Medium Low.",,,
bd9d6a0,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,나만의코스,리빙,US,,제품,설정 제어,설정/변경,Need to be able to adjust the dryer temp on the machine and the app,기계와 앱에서 건조기 온도를 조정할 수 있어야 합니다.,"['24_W5', 'Dryer', 'ListB', '건조온도조절', '모든옵션해제', '제안', '중복']",코스 옵션 해제,202401,,,The user suggests adding a feature to adjust the dryer temperature both on the machine and through the app.,,,
ffb5f56,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,나만의코스,리빙,US,,,,,Customize the temperature for the DRY cycle. Some items do not need high heat.,DRY 주기의 온도를 사용자 지정합니다. 일부 품목은 높은 열이 필요하지 않습니다.,"['24_W7', 'Dryer', 'ListB', '건조온도조절', '나만의코스', '모든옵션해제', '북미Only', '제안', '제품상품기획', '중복']",코스 옵션 설정,202402,,,The user suggests customizing the temperature for the DRY cycle as some items do not need high heat.,,,
1d60287,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,건조온도설정/변경,리빙,US,['en'],,,,Id like to be able to select low heat and also use sensor drying. ,Id는 낮은 열을 선택하고 센서 건조를 사용할 수 있기를 원합니다.,"['24_W45', 'Dryer', 'IDR', 'ListB', '건조온도조절', '건조옵션', '제안', '중복']",코스 온도 조절 (아마 표준 코스 일 듯 합니다.),202411,"['BDVG_FX0003_US', 'FAFXU22027']","['DLEX5500V.ASSEUUS', 'WM5500HVA.ASSEVUS']",The user suggests being able to select low heat and use sensor drying.,,,
2b3dd21,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,나만의코스,리빙,US,['en'],,,,Allow custom dryer settings. I.e medium low with longer run times for those who don’t want shrinkage ,"사용자 지정 건조기 설정을 허용합니다. 즉, 수축을 원하지 않는 사람들을 위해 더 긴 실행 시간을 가진 중간 낮음","['24_W47', 'Dryer', 'IDR', 'ListB', '건조시간조절', '나만의코스', '제안', '중복']",코스 세부 설정 (MyCycle),202411,"['BDV_TX_BT_LED_6203', 'TLXU7LBQ']","['DLG8401BE.AEBEEUS', 'WT8600CB.AEBETUS']","The user suggests allowing custom dryer settings, such as medium low with longer run times, for those who want to avoid shrinkage.",,,
5c803a2,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,원격기능유지,리빙,US,,제품,설정 제어,설정/변경,Make the remote start feature stay on when turned on. ,원격 시작 기능이 켜져 있을 때 계속 켜져 있도록 합니다.,"['23_W37', 'Dryer', 'ListB', '원격기능유지', '원격제어', '제안', '중복']",켰을때 원격제어 동작 요청,202309,,,The user suggests making the remote start feature stay on continuously once activated.,,,
16276a5,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,나만의코스,리빙,US,,제품,제품 제어,코스,I would love the ability to change the default settings for normal and heavy duty.  Specifically I’d like to change the dry level so that every time I use heavy duty it is dry level very.  Because I use this cycle to dry my cheavy cotton throw rugs and they are never dry enough on the default. ,일반 및 중부하 작업용 기본 설정을 변경할 수 있는 기능이 마음에 듭니다.  특히 나는 헤비 듀티를 사용할 때마다 매우 건조 수준이 되도록 건조 수준을 변경하고 싶습니다.  나는이 사이클을 사용하여 무거운 면화 깔개를 말리기 때문에 기본적으로 충분히 건조되지 않습니다.,"['23_W35', 'Dryer', 'ListB', '건조옵션', '나만의코스', '제안', '중복']",커스텀 코스/옵션 요청 건,202308,,,"The user suggests changing the default settings for normal and heavy duty cycles to allow adjustment of the dry level, specifically setting the dry level to 'very' for the heavy duty cycle to ensure cotton throw rugs are adequately dried.",,,
