No,Keyword
156,고객메모기능
157,고급예약
158,고기온도계사용법
159,고내음식현황
160,고압세척
161,고온건조코스
162,공간맞춤바람방향
163,공간제습코스
164,공기질표시
165,공기청정모드
166,공휴일청소안함
167,과열알림
168,과일세척코스
169,교복코스
170,구글홈
171,구김방지옵션
172,구김방지코스
173,구독서비스연동
174,구역이름설정
175,구역청소
176,구조변경
177,군복전용모드
178,그룹제어기능변경/추가
179,그릇위치자동이동
180,급속모드
181,급속세척코스
182,기기동작소음
183,기기사용알림
184,기기조명개선
185,기념일알림소리
186,기능문의
187,기능확대적용요청
188,기본값(디폴트)설정유지/변경
189,기존도면추가편집
190,기존제품개선
191,기지원기능
192,기타
193,길이연장키트
194,김치숙성정보표시
195,꺼짐만예약
196,나만의코스
197,나만의코스2.0
198,나이트모드
199,날씨정보표시
200,날짜표시
201,내마음코스
202,내부디자인변경
203,내부수납량알림
204,내부조명on/off설정
205,내부조명밝기설정/변경
206,내부조명색상설정/변경
207,내부조명시간설정/변경
208,내부카메라설치
209,내용확인어려움
210,냄새감지
211,냉수세탁행굼
212,냉장실서랍
213,냉풍건조
214,노크온기능
215,노크온원격지원
216,녹화기능
217,높이조절설정
218,니트코스
219,다기기로그인시제품상태알림동기화
220,다기기사용알림
221,다기기일괄설정제어
222,다단계온도설정
223,다림질기능
224,다목적보관모드
225,다운로드코스개선
226,다이얼이미지
227,다이얼정렬
228,다크모드
229,단위표준변경
230,대기화면설정
231,대기화면시간설정
232,대용량출수
233,데님전용코스
234,도면공유
235,도면그리기개선
236,도면내충전대위치변경
237,도면저장
238,도면청소순서설정/변경
239,도면추천
240,도면편집
241,도어교체
242,도어열림/닫힘각도
243,동작불만
244,동작상태모니터링
245,동작시간설정/변경
246,동작시간확인
247,동작오류
248,동작잔여시간확인
249,동작정지알림
250,동작중세탁물추가
251,동작중오류
252,동파방지개선
253,두대이상업그레이드
254,듀얼증발기
255,드라이클리닝코스
256,디스플레이밝기조절설정/변경
257,디스플레이화면표시
258,디스플레이화면표시내용설정/변경
259,디스플레이화면표시색상설정/변경
260,라이팅설정
261,레시피추가
262,레시피추천
263,리모컨동작제어
264,리모컨부착기능
265,마른걸레적시기기능
266,맛지킴김치모드
267,맞춤청소설정
268,맞춤출수설정/변경
269,맞춤출수이름설정
270,맥주동시제조
271,맥주잔량알림
272,먼지봉투교체알림
273,먼지비움설정/변경
274,먼지코스
275,메뉴얼링크
276,메뉴위치개선
277,메모기능
278,멜로디변경
279,모델명확인
280,모바일데이터(LTE/5G)
281,모션감지라이트
282,모션감지라이트2.0
283,모션감지라이트외부연동
284,모자관리코스
285,모터기능강화
286,모터바람방향개선
287,모피/퍼코스
288,무게감지
289,무드등ON/OFF설정
290,무드등공기질알림
291,무드등밝기조절설정/변경
292,무드등색상설정/변경
293,무드업냉장고기능추가
294,무드업냉장고색상추가
295,무드업색상설정/변경
296,무드업조명OnOff설정
297,무드업파티모드
298,무선충전기능
299,무음/음소거모드
300,문구표기개선/추가
301,문닫힘소리개선
302,문닫힘소음
303,문닫힘알림
304,문여닫힘방식개선
305,문여닫힘상태모니터링
306,문열림개선
307,문열림고정
308,문열림방향설정
309,문열림상태표시
310,문열림시간설정
311,문열림알림
312,문열림알림앱푸쉬
313,문열림횟수알림
314,문의내용부족
315,문잠금기능
316,문종류별알림음
317,문턱등반
318,물걸레물배출버튼
319,물걸레회전속도조절설정/변경
320,물공급조절
321,물부족알림
322,물사용량
323,물수위표시
324,물얼룩제거가이드
325,물얼음공급선택
326,물얼음동시출수
327,물얼음선택방향옵션
328,물온도설정
329,물온도설정/변경
330,물온도표시
331,물통개선
332,물통만수알림
333,물통상태알림
334,미국단위설정
335,미세문열림알림
336,미세플라스틱저감코스
337,바람각도설정/변경
338,바람모드설정
339,바람방향그림표시
340,바람방향설정/변경
341,바람세기설정
342,바람세기설정/변경
343,바운스모드
344,바코드라벨인식
345,바퀴소음개선
346,반려동물배소변감지기능
347,반복예약
348,반복청소
349,발마사지
350,방별장애물감지높이설정
351,방석/쿠션코스
352,방해금지모드
353,배경화면설정
354,배경화면시간설정
355,배경화면커스텀테마
356,배기/환기기능
357,배터리%표시
358,배터리교체시기알림
359,배터리방전
360,배터리보호
361,배터리상태알림
362,배터리수명연장모드
363,배터리충전
364,배터리충전복귀설정
365,배터리충전제한
366,버튼무음/음소거설정
367,버튼밝기조절설정/변경
368,버튼볼륨설정/변경
369,버튼설정
370,버튼음설정
371,버튼음추가/변경
372,버튼잠금기능
373,버튼조명등색상설정/변경
374,베개코스
375,보관모드
376,보풀제거기능
377,복수지도/도면
378,볼륨설정/변경
379,볼륨조절설정/변경
380,불림코스
381,불멍
382,뷰케이스밝기설정
383,블루투스기능
384,비업가전
385,빠른해동기능
386,빠른행굼코스
387,사용기력에정보추가
388,사용방법가이드
389,사용설명서
390,사용이력표시
391,사용자커스텀기능추가
392,사용자커스텀테마추가
393,사용중코스추가
394,사이클시간설정/변경
395,살균상태표시
396,살균코스
397,살충코스
398,상태정보일정시간단위로자동변경표시
399,상하단옵션기능추가
400,색상설정/변경
401,서랍깊이수정
402,서비스요청
403,선반건조모드
404,선택청소
405,선풍기모드
406,설정오동작
407,설정유지
408,설정초기화
409,설치시험
410,섬유유연시트자동공급
411,성능개선
412,성에제거모드
413,세제/유연제투입설정/변경
414,세제유연제알림
415,세제잔여량표시
416,세제투입구급수방지
417,세제투입구위치변경
418,세제투입구청소모드
419,세제투입구크기
420,세제투입량자동조절
421,세제투입량조절설정/변경
422,세제함건조
423,세척완료알림
424,세척정도알림
425,세척코스
426,세탁건조동시사용
427,세탁결과피드백
428,세탁단독
429,세탁물감지
430,세탁물말림개선
431,세탁물무게감지
432,세탁물양조절설정/변경
433,세탁물온도감지
434,세탁물온도설정/변경
435,세탁시간설정/변경
436,세탁시작알림
437,세탁예약
438,세탁종료시간알림
439,세탁종료알림
440,세탁종료전알림
441,세탁지연알림
442,세탁통건조
443,세탁후건조전대기
444,센서추가
445,셔츠코스
446,소량급속코스
447,소량코스
448,소모품교체시기
449,소모품구매
450,소모품제작
451,소음개선
452,속옷코스
453,손세탁코스
454,손잡이조명ON/OFF
455,손잡이조명색상
456,송풍건조모드
457,송풍모드
458,쇼타임모드
459,수건코스
460,수동건조모드
461,수동조종기능
462,수분섭취알림설정
463,수비드코스
464,수질개선
465,수질상태감지
466,수평조정
467,스마트가이드설정/변경
468,스마트그리드
469,스마트루틴
470,스마트모니터링
471,스마트진단
472,스마트케어
473,스마트케어설정
474,스마트케어습도설정/변경
475,스마트케어온도설정/변경
476,스마트페어링
477,스마트페어링2.0
478,스케줄설정
479,스케쥴예약
480,스팀/살균코스
481,스팀기능
482,스팀리프레쉬코스
483,스팀리프레시코스
484,스팀옵션
485,스팀코스
486,습도센서
487,습도앱알림
488,습도정보확인
489,습도조절기능
490,습도표시
491,시간건조
492,시간대별설정/변경
493,시간별음량설정
494,시간설정
495,시계표시
496,시니어실버케어용알림
497,시음적기알림
498,시작알림
499,시작전시간안내
500,식품관리
501,신규컨셉제안(새로운기능)
502,신규컨셉제안(신기능/신제품)
503,신규컨셉제안(제품간결합)
504,신발건조코스
505,실내습도감지
506,실내습도반영설정/변경
507,실내습도표시
508,실내온도표시
509,실내이산화탄소수치감지
510,실시간동작상태
511,실시간세탁건조상태
512,실시간청소금지영역설정
513,실외기팬가동여부표시
514,실외온도표시
515,씨앗키트추가
516,아웃도어/운동복코스
517,아이스메이커기능개선
518,아이스메이커볼륨조절
519,아이스메이커상태표시
520,아이스메이커설정/변경
521,아이스메이커소음개선
522,아이스메이커알림설정
523,아이스메이커원격설정
524,아이스메이커종류별설정
525,아이스생성상태표시
526,아이스생성알림
527,아이스쿨파워
528,알뜰삶음코스
529,알림ON/OFF
530,알림금지설정
531,알림멜로디변경/추가
532,알림세부설정
533,알림음ON/OFF
534,알림음변경
535,알림음선택
536,알림음소거
537,알림음시간설정/변경
538,알림음원다양화
539,알림음추가
540,애벌세척코스
541,애플홈킷연동
542,앱UX개선
543,앱UX개선(기능삭제)
544,앱UX개선(디자인변경/추가)
545,앱UX개선(문구개선)
546,앱UX개선(설명/가이드추가)
547,앱UX개선(신규기능)
548,앱UX개선(위치변경)
549,앱개선(새로고침)
550,앱개선(이름표시)
551,앱개선(제품카드)
552,앱개선(편집기능)
553,앱내기능설명
554,앱리모컨연동
555,앱사용성안정화
556,앱속도개선
557,앱알림설정
558,앱알림편의성
559,앱에서종료음재생
560,앱자가진단
561,앱제어기능
562,야간/취침모드
563,야간눈부심방지
564,야간눈부심방지_노크온
565,야간눈부심방지_정수기
566,야간조용히모드
567,약관동의
568,양말코스
569,양방향음성인식기능
570,어린이/유아코스
571,언어설정/지원
572,얼룩제거코스
573,얼음만빙알림
574,얼음사용량측정
575,얼음생성멜로디설정
576,얼음생성속도개선
577,얼음수량표시
578,얼음저장고살균설정
579,얼음정수기
580,얼음추가옵션
581,얼음출수속도개선
582,얼음크기선택
583,업가전알림삭제
584,업그레이드기능
585,업그레이드내용표시
586,업그레이드문의
587,업그레이드오류
588,업그레이드요청
589,업데이트알림
590,엉킴방지동작
591,에너지모니터링
592,에너지절약모드
593,에러오류알림
594,에러위치표시
595,에어건/에어스프레이기능
596,에어드라이
597,에어컨조명밝기조절설정/변경
598,에어컨조명색상설정/변경
599,에어프라이어기능
600,연마제제거기능
601,연속출수
602,열교환기세척기능
603,열대야취침모드
604,열풍건조코스
605,영역별온도설정
606,예상소요시간확인
607,예약건조
608,예약기능
609,예약스케쥴공휴일설정추가
610,예약시간설정/변경
611,예약시간세분화
612,예약예열
613,예약옵션
614,예약옵션기능추가
615,예약청소
616,예열기능/설정
617,오동작
618,오염센서
619,오존시스템
620,오토모드
621,온도설정/변경
622,온도정보확인
623,온수온도설정/변경
624,온수잠금
625,온풍모드
626,온풍예약
627,올인원세제린스부족알림
628,올인원세제린스부족알림끄기
629,옷감인식
630,와인라벨등록개선
631,완료알림볼륨설정/변경
632,외부온도센서연동
633,외부조명밝기설정/변경
634,외부조명색상변경
635,외부조명시간설정
636,운동화/신발세척코스
637,울코스
638,워시타워위치변경(세탁건조자동화)
639,원격건조
640,원격기능유지
641,원격기능잠금
642,원격기능제어
643,원격문열림
644,원격예열
645,원격잠금기능
646,원격전원OFF
647,원격제어알림
648,원격제어유지중문열림기능제공
649,원격지원기능추가
650,위젯기능추가
651,위젯내제품기능제어
652,위젯디자인변경/추가
653,위치조절설정/변경
654,위치지역설정/변경
655,유량센서
656,유아/젖병코스
657,유아코스
658,음성안내목소리추가/변경
659,음성안내볼륨설정/변경
660,음성안내알림
661,음성인식기능제어
662,음성인식성능개선
663,음성인식타제품제어
664,음식물바코드스캔
665,음식물쓰레기냉장고
666,음식물쓰레기보관냉장고
667,음악재생설정/변경
668,음원변경
669,의류리프레시코스
670,의류온도감지
671,의류폴딩기능
672,이동용바퀴/무빙휠
673,이벤트음원
674,이불압축팩모드
675,이상소음
676,이어서동작기능
677,인공지능모드
678,인공지능센서상태표시
679,인공지능코스
680,인체/체온감지
681,인테리어
682,인형코스
683,일시정지/중지기능추가
684,입력단순화
685,자동건조모드
686,자동동작
687,자동모드변경
688,자동문닫힘
689,자동문열림
690,자동물걸레세척건조
691,자동물회수기능
692,자동세제/유연제투입기능
693,자동세척
694,자동업데이트
695,자동업데이트기능
696,자동잠금
697,자동후드동작
698,자연청정모드
699,작동알림볼륨설정/변경
700,작동중설정변경
701,잔수제거
702,잠금기능
703,잠금설정기능
704,장시간사용알림
705,장애물감지
706,장애물감지높이설정
707,재급수기능
708,재시작알림
709,저온건조코스
710,저용량출수
711,전력사용량표시
712,전력최적화
713,전원꺼짐알림
714,전원버튼추가
715,전원제어
716,전자파차단
717,전체조명설정
718,절전모드
719,정보제공
720,정수/필터교체시기표시
721,정수기기본출수설정
722,정수기설정상태알림
723,정수정량출수
724,정음/저소음모드
725,제습기물통감지알림
726,제습량표시
727,제습모드
728,제안하기UX
729,제품간동기화
730,제품간연동
731,제품고정불량
732,제품기능알림동기화
733,제품내부기능변경/추가
734,제품내부살균코스
735,제품등록
736,제품등록오류
737,제품서비스/설치
738,제품알림다양화
739,제품알림음설정/변경
740,제품연결오류
741,제품외부기능변경/추가
742,제품이름설정/변경
743,제품전체전원제어
744,제품출시요청
745,제품출시일정
746,제품커버
747,조리상태표시
748,조리음식인식
749,조리전알림받기
750,조명/라이트설치
751,조명dim
752,조명색상설정/변경
753,조명설정/변경
754,조명시간설정
755,조명예약
756,조명추가
757,조명팬각각설정/변경
758,조명효과
759,조용조용모드
760,조작법문의
761,조작부안전
762,조작부조명
763,조작불편
764,종료시간예약
765,종료알림
766,종료알림음볼륨설정/변경
767,종료외알림
768,종료음멜로디설정/변경
769,종료후세탁물케어
770,종료후세탁물케어2.0
771,주름개선코스
772,주변밝기센서미세조절추가
773,주행속도개선
774,즐겨찾기설정
775,직수관살균상태표시
776,직수관살균설정/변경
777,직전설정유지기능
778,집중청소범위설정
779,찬물세척
780,천기저귀코스
781,청소간격설정
782,청소구역설정
783,청소금지영역보조
784,청소금지영역추천
785,청소기위치알림
786,청소기위치찾기
787,청소기자동물공급기능
788,청소남은시간표시
789,청소다이어리개선
790,청소모드
791,청소스케줄최적화
792,청소시기알림
793,청소주행방향설정
794,청소통합모드
795,청소헤드교체/개선
796,청정관리
797,청정등밝기조절설정/변경
798,초기화버튼추가
799,최대밝기조정
800,최대음량조절
801,추가건조
802,추가세정코스
803,출수구높이조절설정
804,출수량조절
805,출수량표시
806,출수방식설정/변경
807,출수방향설정/변경
808,출수세기설정/변경
809,출수잠금
810,출수잠금기능
811,출입금지선추가
812,충전LED밝기조절설정/변경
813,충전USB포트추가
814,충전대기모드
815,충전대등반
816,충전대복귀
817,충전알림
818,충전완료알림
819,충전후남은영역청소
820,충전후남은영역청소On/Off
821,충전후청소개선
822,취침예약설정
823,침구류코스
824,침구말림개선
825,침구털기코스
826,카페트코스
827,칸별온습도정보제공
828,커스텀멜로디설정/변경
829,커스텀컨트롤패널
830,커텐코스
831,컬러조명
832,컵위치인식
833,컵인식출수금지기능
834,케어서비스
835,케이스교체
836,코스명관리
837,코스사용불만
838,코스설정개선
839,코스자동최적화
840,코스진행표시
841,코스추가
842,콘덴서청소설정
843,콘덴서청소알림
844,쾌속스팀살균코스
845,쿨파워모드
846,크래프트아이스설정/변경
847,클린부스터팬수직설정
848,클린부스터회전
849,타월코스
850,타이머기능
851,타이머기본값변경
852,타임싱크
853,탁도감지에러
854,탈수모드
855,탈수오류알림
856,탈취모드
857,터보모드
858,터보샷추가
859,터치라이트기능
860,터치버튼음각처리
861,터치패널추가
862,털기모드
863,통살균리셋기능
864,통살균알림
865,통살균예약
866,통살균코스
867,통세척알림
868,통세척코스
869,패딩코스
870,페어링설정개선
871,펫안전모드
872,펫케어코스
873,폰트깨짐오류
874,표시등밝기조절설정/변경
875,표시등색상설정/변경
876,풍향자동모드
877,필터관리
878,필터교체알림
879,필터구매
880,필터구매링크제공
881,필터먼지제거
882,필터상태표시
883,필터이력관리
884,필터장착여부인식
885,필터청소시기알림
886,필터클린봇
887,한복코스
888,해동기능
889,해동코스
890,행정시작알림
891,행정완료예상시간표시
892,행정잔여시간표시
893,행정진행상태표시
894,행주소독세척코스
895,향기필터/키트
896,헤드노즐개선
897,헤드라이트개선
898,헹굼건조코스
899,헹굼시작알림
900,헹굼추가기능
901,헹굼코스
902,헹굼탈수코스
903,헹굼횟수설정/변경
904,헹굼횟수추가
905,현재고기온도표시
906,현재동작상태표시
907,현재상태표시
908,현재습도표시
909,현재시간표시
910,현재시간표시오류
911,현재온도표시
912,현재온습도표시
913,홈IoT
914,홈가드설정
915,홈공유
916,홈공유개인화
917,홈뷰(카메라)줌기능
918,홈뷰(카메라)화질개선
919,홈뷰기능제어
920,홈브루주류추가
921,홈위치표시
922,홈화면편집
923,화면밝기조절설정/변경
924,화재경고알림
925,화재알림
926,환기알림기능
927,회전속도설정/변경
928,효과음모드
929,효율적충전
930,휴대용제습기
931,흡입구개선
932,흡입력조절설정
933,흡입력표시
934,흰옷세탁코스
935,흰옷코스
936,Total Unique Issues:
